,Brands,Ton,Star,Type,Color,Condenser_Coil,Noise(dB),Noise(dB)_Range,Power_Consumption(kWh),Power_Range(kWh),Refrigerant,Wi_Fi Enabled,Product_Warranty(Years),PCB_Warranty(Years),Compressor_Warranty(Years),Condenser_Warranty(Years),ODU_Casing_Warranty(Years),Ratings_Count,Reviews_Count,Avg_star,Avg_star_Range,Offer_Price(₹),Offer_Price_Range(₹),Actual_Price(₹),Act_Price_Range(₹),Discount(%),Merged,Types
92,Panasonic,1.0,3,Split Inverter,White,Copper,45.0,"(40, 45]",1752.0,"(1500,2000]",R32,Yes,1,4,9,1,1,7158.0,844.0,4.3,"(4.0,4.5]",33490.0,"(30000,35000]",48100.0,"(45000,50000]",30.0,Panasonic 1.0 Ton 3.0 Star,Split
93,Lg,1.0,4,Split Dual Inverter,White,Copper,21.0,"(20, 25]",649.0,"(500,1000]",R32A,No,1,5,10,1,1,4.0,1.0,4.5,"(4.0,4.5]",34990.0,"(30000,35000]",60990.0,"(60000,65000]",43.0,Lg 1.0 Ton 4.0 Star,Split
94,Samsung,1.5,5,Split Inverter,White,Copper,59.0,"(55, 60]",2208.0,"(2000,2500]",R32,Yes,1,1,1,5,1,3.0,0.0,4.7,"(4.5,5.0]",42475.0,"(40000,45000]",55500.0,"(55000,60000]",23.0,Samsung 1.5 Ton 5.0 Star,Split
95,Samsung,1.5,4,Split Inverter,"White, Blue",Copper,36.0,"(35, 40]",2384.0,"(2000,2500]",R32,No,1,1,10,1,1,4.0,1.0,3.3,"(3.0,3.5]",37475.0,"(35000,40000]",68990.0,"(65000,70000]",46.0,Samsung 1.5 Ton 4.0 Star,Split
96,Blue Star,1.2,3,Split Inverter,White,Copper,40.0,"(35, 40]",2304.0,"(2000,2500]",R32A,No,1,1,10,1,1,3506.0,417.0,4.4,"(4.0,4.5]",34990.0,"(30000,35000]",50000.0,"(45000,50000]",30.0,Blue Star 1.2 Ton 3.0 Star,Split
97,Blue Star,1.2,3,Split Inverter,White,Copper,34.0,"(30, 35]",2400.0,"(2000,2500]",R32,No,1,1,1,1,1,219.0,20.0,3.8,"(3.5,4.0]",33490.0,"(30000,35000]",56000.0,"(55000,60000]",40.0,Blue Star 1.2 Ton 3.0 Star,Split
98,Voltas,1.5,5,Split Inverter,White,Copper,46.0,"(45, 50]",2544.0,"(2500,3000]",R32,No,1,1,5,1,1,1686.0,158.0,4.3,"(4.0,4.5]",39999.0,"(35000,40000]",68990.0,"(65000,70000]",42.0,Voltas 1.5 Ton 5.0 Star,Split
99,Daikin,1.0,3,Split Inverter,White,Copper,26.0,"(25, 30]",1776.0,"(1500,2000]",R32,No,1,1,10,1,1,2367.0,222.0,4.2,"(4.0,4.5]",32100.0,"(30000,35000]",42200.0,"(40000,45000]",24.0,Daikin 1.0 Ton 3.0 Star,Split
100,Blue Star,1.2,3,Split Inverter,White,Copper,58.0,"(55, 60]",1482.0,"(1000,1500]",R32,No,1,1,1,1,1,121.0,6.0,4.2,"(4.0,4.5]",31990.0,"(30000,35000]",52000.0,"(50000,55000]",38.0,Blue Star 1.2 Ton 3.0 Star,Split
101,Samsung,1.0,3,Split,White,Copper,42.0,"(40, 45]",1472.0,"(1000,1500]",R32,No,1,1,1,1,1,138.0,8.0,4.3,"(4.0,4.5]",29990.0,"(25000,30000]",45990.0,"(45000,50000]",35.0,Samsung 1.0 Ton 3.0 Star,Split
102,Daikin,1.0,4,Split Inverter,White,Copper,41.0,"(40, 45]",1920.0,"(1500,2000]",R32A,No,1,5,10,1,1,576.0,54.0,4.2,"(4.0,4.5]",32999.0,"(30000,35000]",48200.0,"(45000,50000]",32.0,Daikin 1.0 Ton 4.0 Star,Split
103,Samsung,1.5,3,Split Inverter,White,Copper,44.0,"(40, 45]",2720.0,"(2500,3000]",R32,No,1,1,10,1,1,8715.0,843.0,4.2,"(4.0,4.5]",32499.0,"(30000,35000]",48990.0,"(45000,50000]",34.0,Samsung 1.5 Ton 3.0 Star,Split
104,Panasonic,1.5,3,Split Inverter Smart,White,Copper,43.0,"(40, 45]",1680.0,"(1500,2000]",R32A,Yes,1,5,10,1,1,623.0,101.0,4.3,"(4.0,4.5]",36990.0,"(35000,40000]",50000.0,"(45000,50000]",26.0,Panasonic 1.5 Ton 3.0 Star,Split
105,Lloyd,1.5,3,Window,White,Copper,53.0,"(50, 55]",1234.0,"(1000,1500]",R32,No,1,1,5,1,1,92.0,11.0,4.3,"(4.0,4.5]",28490.0,"(25000,30000]",37990.0,"(35000,40000]",25.0,Lloyd 1.5 Ton 3.0 Star,Window
106,Lg,1.5,5,Split Dual Inverter,White,Copper,31.0,"(30, 35]",819.0,"(500,1000]",R32A,Yes,1,5,10,1,1,26.0,4.0,3.8,"(3.5,4.0]",48990.0,"(45000,50000]",77990.0,"(75000,80000]",37.0,Lg 1.5 Ton 5.0 Star,Split
107,Godrej,1.5,3,Split Inverter,White,Copper,42.0,"(40, 45]",2800.0,"(2500,3000]",R32,No,1,1,5,1,1,425.0,59.0,4.3,"(4.0,4.5]",31999.0,"(30000,35000]",57780.0,"(55000,60000]",45.0,Godrej 1.5 Ton 3.0 Star,Split
108,Hitachi,1.0,5,Window,White,Copper,50.0,"(45, 50]",1648.0,"(1500,2000]",R32A,No,1,1,4,1,1,2183.0,356.0,4.2,"(4.0,4.5]",28999.0,"(25000,30000]",29090.0,"(25000,30000]",0.0,Hitachi 1.0 Ton 5.0 Star,Window
109,Godrej,1.5,3,Split Inverter,"White, Gold",Copper,43.0,"(40, 45]",1046.0,"(1000,1500]",R32A,No,1,1,10,1,1,3.0,0.0,0.0,"(-0.5,0.0]",33990.0,"(30000,35000]",43900.0,"(40000,45000]",23.0,Godrej 1.5 Ton 3.0 Star,Split
110,Thomson,1.5,5,Split Inverter,White,Copper,49.0,"(45, 50]",2160.0,"(2000,2500]",R32,No,1,1,10,1,1,116.0,26.0,4.2,"(4.0,4.5]",33999.0,"(30000,35000]",48998.0,"(45000,50000]",31.0,Thomson 1.5 Ton 5.0 Star,Split
111,Ifb,1.0,3,Split Inverter,White,Copper,32.0,"(30, 35]",1936.0,"(1500,2000]",R32A,No,1,5,10,1,1,1130.0,120.0,4.2,"(4.0,4.5]",29990.0,"(25000,30000]",37990.0,"(35000,40000]",21.0,Ifb 1.0 Ton 3.0 Star,Split
112,Blue Star,2.0,3,Window,White,Copper,51.0,"(50, 55]",3373.0,"(3000,3500]",R32A,No,1,1,5,1,1,2964.0,380.0,4.2,"(4.0,4.5]",34990.0,"(30000,35000]",44000.0,"(40000,45000]",20.0,Blue Star 2.0 Ton 3.0 Star,Window
113,Voltas,1.5,3,Split Inverter,White,Copper,46.0,"(45, 50]",2696.0,"(2500,3000]",R32,No,1,1,10,1,1,4.0,0.0,0.0,"(-0.5,0.0]",34999.0,"(30000,35000]",61990.0,"(60000,65000]",44.0,Voltas 1.5 Ton 3.0 Star,Split
114,Carrier,1.2,5,Split Inverter,White,Copper,32.0,"(30, 35]",1680.0,"(1500,2000]",R32,No,1,1,10,1,1,6413.0,795.0,4.3,"(4.0,4.5]",36999.0,"(35000,40000]",52990.0,"(50000,55000]",30.0,Carrier 1.2 Ton 5.0 Star,Split
115,Daikin,1.5,4,Split Inverter,White,Copper,35.0,"(30, 35]",2688.0,"(2500,3000]",R32,No,1,1,5,1,1,2367.0,222.0,4.2,"(4.0,4.5]",39700.0,"(35000,40000]",52700.0,"(50000,55000]",25.0,Daikin 1.5 Ton 4.0 Star,Split
116,Samsung,2.0,4,Split Inverter,White,Copper,45.0,"(40, 45]",2912.0,"(2500,3000]",R32A,No,1,1,10,1,1,35.0,4.0,4.3,"(4.0,4.5]",46999.0,"(45000,50000]",77990.0,"(75000,80000]",40.0,Samsung 2.0 Ton 4.0 Star,Split
117,Voltas,1.5,3,Split Inverter,White,Copper,45.0,"(40, 45]",1040.0,"(1000,1500]",R32,No,1,1,10,1,1,13.0,1.0,4.5,"(4.0,4.5]",38890.0,"(35000,40000]",58990.0,"(55000,60000]",34.0,Voltas 1.5 Ton 3.0 Star,Split
118,Voltas,1.0,5,Window,White,Copper,54.0,"(50, 55]",1480.0,"(1000,1500]",R22,No,1,1,4,1,1,3138.0,350.0,4.3,"(4.0,4.5]",31999.0,"(30000,35000]",32990.0,"(30000,35000]",3.0,Voltas 1.0 Ton 5.0 Star,Window
119,Lg,1.5,5,Split Dual Inverter,White,Copper,31.0,"(30, 35]",819.0,"(500,1000]",R32A,Yes,1,5,10,1,1,47.0,7.0,4.1,"(4.0,4.5]",48480.0,"(45000,50000]",77990.0,"(75000,80000]",38.0,Lg 1.5 Ton 5.0 Star,Split
120,Lg,1.5,3,Split Dual Inverter,White,Copper,31.0,"(30, 35]",1016.0,"(1000,1500]",R32A,No,1,5,10,1,1,32.0,3.0,3.8,"(3.5,4.0]",43539.0,"(40000,45000]",79990.0,"(75000,80000]",46.0,Lg 1.5 Ton 3.0 Star,Split
121,Daikin,1.5,3,Split Inverter,White,Copper,35.0,"(30, 35]",2672.0,"(2500,3000]",R32,No,1,5,10,1,1,17.0,0.0,3.8,"(3.5,4.0]",36900.0,"(35000,40000]",49100.0,"(45000,50000]",25.0,Daikin 1.5 Ton 3.0 Star,Split
122,Samsung,1.5,4,Split Inverter,White,Copper,35.0,"(30, 35]",2400.0,"(2000,2500]",R32,Yes,5,1,10,1,1,3.0,0.0,0.0,"(-0.5,0.0]",40200.0,"(40000,45000]",62300.0,"(60000,65000]",35.0,Samsung 1.5 Ton 4.0 Star,Split
123,Whirlpool,1.0,3,Split Inverter,White,Copper,42.0,"(40, 45]",1720.0,"(1500,2000]",R32A,No,1,1,10,1,1,27658.0,3503.0,4.2,"(4.0,4.5]",29490.0,"(25000,30000]",44750.0,"(40000,45000]",34.0,Whirlpool 1.0 Ton 3.0 Star,Split
124,Samsung,1.0,3,Split Triple Inverter,"White, Blue",Copper,21.0,"(20, 25]",1696.0,"(1500,2000]",R32,No,1,5,10,5,1,2014.0,302.0,4.1,"(4.0,4.5]",31490.0,"(30000,35000]",48990.0,"(45000,50000]",36.0,Samsung 1.0 Ton 3.0 Star,Split
125,Blue Star,1.0,3,Split,White,Copper,62.0,"(60, 65]",1183.0,"(1000,1500]",R32A,No,1,1,5,1,1,502.0,72.0,4.2,"(4.0,4.5]",32500.0,"(30000,35000]",42500.0,"(40000,45000]",24.0,Blue Star 1.0 Ton 3.0 Star,Split
126,Haier,0.9,3,Split Inverter,White,Copper,26.0,"(25, 30]",1171.0,"(1000,1500]",R32,No,1,1,12,1,1,5.0,2.0,2.4,"(2.0,2.5]",27990.0,"(25000,30000]",52991.0,"(50000,55000]",47.0,Haier 0.9 Ton 3.0 Star,Split
127,Lloyd,2.0,3,Split Inverter,White,Copper,43.0,"(40, 45]",1264.0,"(1000,1500]",R32,No,1,1,10,1,1,1516.0,149.0,4.3,"(4.0,4.5]",47990.0,"(45000,50000]",73990.0,"(70000,75000]",35.0,Lloyd 2.0 Ton 3.0 Star,Split
128,Lloyd,0.8,3,Split Inverter,White,Copper,32.0,"(30, 35]",585.0,"(500,1000]",R32A,No,1,1,10,1,1,5.0,0.0,0.0,"(-0.5,0.0]",30999.0,"(30000,35000]",41990.0,"(40000,45000]",26.0,Lloyd 0.8 Ton 3.0 Star,Split
129,Haier,1.0,3,Split,White,Copper,40.0,"(35, 40]",1555.0,"(1500,2000]",R32,No,1,1,10,1,1,94.0,9.0,4.2,"(4.0,4.5]",26990.0,"(25000,30000]",49500.0,"(45000,50000]",45.0,Haier 1.0 Ton 3.0 Star,Split
130,Lloyd,1.0,3,Split Inverter,White,Copper,36.0,"(35, 40]",712.0,"(500,1000]",R32,No,1,1,10,1,1,5.0,0.0,0.0,"(-0.5,0.0]",31499.0,"(30000,35000]",44490.0,"(40000,45000]",29.0,Lloyd 1.0 Ton 3.0 Star,Split
131,Lg,1.5,3,Split Dual Inverter,White,Copper,26.0,"(25, 30]",1051.0,"(1000,1500]",R32A,Yes,1,5,10,1,1,11.0,3.0,4.4,"(4.0,4.5]",38390.0,"(35000,40000]",70990.0,"(70000,75000]",46.0,Lg 1.5 Ton 3.0 Star,Split
132,Ifb,2.0,3,Split Inverter,White,Copper,38.0,"(35, 40]",1234.0,"(1000,1500]",R32A,No,1,5,1,1,1,1889.0,305.0,4.4,"(4.0,4.5]",45490.0,"(45000,50000]",59590.0,"(55000,60000]",24.0,Ifb 2.0 Ton 3.0 Star,Split
133,Carrier,1.5,5,Split Inverter,White,Copper,38.0,"(35, 40]",2400.0,"(2000,2500]",R32,No,1,2,10,1,1,6413.0,795.0,4.3,"(4.0,4.5]",41999.0,"(40000,45000]",61990.0,"(60000,65000]",32.0,Carrier 1.5 Ton 5.0 Star,Split
134,Samsung,1.5,4,Split Inverter,White,Copper,35.0,"(30, 35]",2384.0,"(2000,2500]",R32,No,1,1,10,1,1,3.0,0.0,0.0,"(-0.5,0.0]",41990.0,"(40000,45000]",64990.0,"(60000,65000]",35.0,Samsung 1.5 Ton 4.0 Star,Split
135,Blue Star,1.5,4,Split Inverter,White,Copper,58.0,"(55, 60]",1564.0,"(1500,2000]",R32,No,1,1,1,1,1,1063.0,140.0,4.2,"(4.0,4.5]",40499.0,"(40000,45000]",61000.0,"(60000,65000]",34.0,Blue Star 1.5 Ton 4.0 Star,Split
136,Lloyd,1.0,3,Window,White,Copper,52.0,"(50, 55]",1789.0,"(1500,2000]",R410A,No,1,1,5,5,1,259.0,30.0,4.2,"(4.0,4.5]",25900.0,"(25000,30000]",32590.0,"(30000,35000]",21.0,Lloyd 1.0 Ton 3.0 Star,Window
137,Croma,1.5,3,Split Inverter,White,Copper,49.0,"(45, 50]",2512.0,"(2500,3000]",R32,No,1,1,9,5,1,0.0,0.0,0.0,"(-0.5,0.0]",30990.0,"(30000,35000]",42000.0,"(40000,45000]",26.0,Croma 1.5 Ton 3.0 Star,Split
138,Voltas,1.5,3,Split Inverter,White,Copper,45.0,"(40, 45]",1037.0,"(1000,1500]",R32,No,1,1,10,1,1,7.0,1.0,4.1,"(4.0,4.5]",37990.0,"(35000,40000]",59190.0,"(55000,60000]",36.0,Voltas 1.5 Ton 3.0 Star,Split
139,Voltas,1.0,5,Split Inverter,White,Copper,46.0,"(45, 50]",1480.0,"(1000,1500]",R32,No,1,1,5,1,1,10.0,0.0,3.7,"(3.5,4.0]",36990.0,"(35000,40000]",55990.0,"(55000,60000]",34.0,Voltas 1.0 Ton 5.0 Star,Split
140,Lg,1.0,5,Window Dual Inverter,White,Copper,44.0,"(40, 45]",672.0,"(500,1000]",R32,Yes,1,5,10,1,1,85.0,13.0,4.3,"(4.0,4.5]",31990.0,"(30000,35000]",56990.0,"(55000,60000]",44.0,Lg 1.0 Ton 5.0 Star,Window
141,Onida,1.5,3,Split Inverter Smart,"Silver, Whitee",Copper,38.0,"(35, 40]",2560.0,"(2500,3000]",R32A,Yes,1,1,5,1,1,956.0,140.0,4.3,"(4.0,4.5]",34999.0,"(30000,35000]",41990.0,"(40000,45000]",17.0,Onida 1.5 Ton 3.0 Star,Split
142,Daikin,1.0,5,Split Inverter,White,Copper,27.0,"(25, 30]",1504.0,"(1500,2000]",R32,No,1,1,10,1,1,5.0,0.0,0.0,"(-0.5,0.0]",40949.0,"(40000,45000]",55500.0,"(55000,60000]",26.0,Daikin 1.0 Ton 5.0 Star,Split
143,Panasonic,1.0,5,Split Inverter,White,Copper,43.0,"(40, 45]",922.0,"(500,1000]",R32,Yes,1,4,9,1,1,122.0,25.0,4.3,"(4.0,4.5]",40990.0,"(40000,45000]",57500.0,"(55000,60000]",29.0,Panasonic 1.0 Ton 5.0 Star,Split
144,Carrier,1.5,3,Split Inverter,White,Copper,37.0,"(35, 40]",2720.0,"(2500,3000]",R32A,No,1,1,10,1,1,599.0,64.0,4.2,"(4.0,4.5]",38500.0,"(35000,40000]",65790.0,"(65000,70000]",41.0,Carrier 1.5 Ton 3.0 Star,Split
145,Voltas,1.5,3,Split Inverter,White,Copper,45.0,"(40, 45]",2620.0,"(2500,3000]",R32,No,1,1,5,1,1,4.0,0.0,5.0,"(4.5,5.0]",34999.0,"(30000,35000]",53590.0,"(50000,55000]",35.0,Voltas 1.5 Ton 3.0 Star,Split
146,Samsung,1.5,3,Split Inverter,"White, Blue",Copper,36.0,"(35, 40]",2720.0,"(2500,3000]",R32,Yes,5,1,10,1,1,3.0,0.0,0.0,"(-0.5,0.0]",36899.0,"(35000,40000]",61990.0,"(60000,65000]",40.0,Samsung 1.5 Ton 3.0 Star,Split
147,Midea,1.5,3,Split,White,Copper,38.0,"(35, 40]",2312.0,"(2000,2500]",R32A,No,1,1,10,1,1,5.0,0.0,3.2,"(3.0,3.5]",31499.0,"(30000,35000]",56190.0,"(55000,60000]",44.0,Midea 1.5 Ton 3.0 Star,Split
148,Godrej,1.5,5,Split Inverter,"White, Gold",Copper,43.0,"(40, 45]",840.0,"(500,1000]",R32A,No,1,1,10,1,1,3.0,0.0,0.0,"(-0.5,0.0]",39490.0,"(35000,40000]",51900.0,"(50000,55000]",24.0,Godrej 1.5 Ton 5.0 Star,Split
149,Onida,1.0,3,Split Inverter,White,Copper,45.0,"(40, 45]",2048.0,"(2000,2500]",R32A,No,1,1,5,1,1,5081.0,601.0,4.3,"(4.0,4.5]",26999.0,"(25000,30000]",42990.0,"(40000,45000]",37.0,Onida 1.0 Ton 3.0 Star,Split
150,Daikin,1.5,4,Split Inverter,White,Copper,32.0,"(30, 35]",2563.0,"(2500,3000]",R32,No,1,1,10,1,1,5.0,0.0,0.0,"(-0.5,0.0]",40999.0,"(40000,45000]",58400.0,"(55000,60000]",30.0,Daikin 1.5 Ton 4.0 Star,Split
151,Carrier,2.0,3,Split Inverter,White,Copper,39.0,"(35, 40]",3176.0,"(3000,3500]",R32,No,1,1,10,1,1,599.0,64.0,4.2,"(4.0,4.5]",44499.0,"(40000,45000]",65990.0,"(65000,70000]",33.0,Carrier 2.0 Ton 3.0 Star,Split
152,Daikin,1.5,5,Split Inverter,White,Copper,32.0,"(30, 35]",2120.0,"(2000,2500]",R32,No,1,1,10,1,1,5.0,0.0,0.0,"(-0.5,0.0]",46948.0,"(45000,50000]",67990.0,"(65000,70000]",31.0,Daikin 1.5 Ton 5.0 Star,Split
153,Blue Star,1.0,5,Split Inverter,White,Copper,62.0,"(60, 65]",961.0,"(500,1000]",R32A,No,1,1,1,1,1,223.0,29.0,4.2,"(4.0,4.5]",35990.0,"(35000,40000]",56500.0,"(55000,60000]",36.0,Blue Star 1.0 Ton 5.0 Star,Split
154,Voltas,1.0,3,Split Inverter,White,Copper,42.0,"(40, 45]",1808.0,"(1500,2000]",R32A,No,1,1,4,1,1,71.0,6.0,4.5,"(4.0,4.5]",34490.0,"(30000,35000]",48990.0,"(45000,50000]",30.0,Voltas 1.0 Ton 3.0 Star,Split
155,Samsung,1.5,5,Split,White,Copper,45.0,"(40, 45]",2160.0,"(2000,2500]",R32,Yes,5,1,10,1,1,4.0,1.0,0.0,"(-0.5,0.0]",45200.0,"(45000,50000]",64500.0,"(60000,65000]",30.0,Samsung 1.5 Ton 5.0 Star,Split
156,Lloyd,1.5,3,Split,White,Copper,42.0,"(40, 45]",2272.0,"(2000,2500]",R32,No,1,1,1,1,1,788.0,68.0,4.1,"(4.0,4.5]",31990.0,"(30000,35000]",52990.0,"(50000,55000]",40.0,Lloyd 1.5 Ton 3.0 Star,Split
157,Hitachi,1.5,5,Split Inverter,White,Copper,36.0,"(35, 40]",898.0,"(500,1000]",R32A,No,1,1,10,1,1,6.0,0.0,0.0,"(-0.5,0.0]",49990.0,"(45000,50000]",66600.0,"(65000,70000]",25.0,Hitachi 1.5 Ton 5.0 Star,Split
158,Lg,1.5,4,Split Dual Inverter,White,Copper,31.0,"(30, 35]",921.0,"(500,1000]",R32A,Yes,1,5,10,1,1,10.0,3.0,4.3,"(4.0,4.5]",42490.0,"(40000,45000]",72990.0,"(70000,75000]",42.0,Lg 1.5 Ton 4.0 Star,Split
159,Blue Star,1.5,3,Split Inverter,White,Copper,44.0,"(40, 45]",2800.0,"(2500,3000]",R32,No,1,1,5,1,1,3.0,0.0,5.0,"(4.5,5.0]",38440.0,"(35000,40000]",52250.0,"(50000,55000]",26.0,Blue Star 1.5 Ton 3.0 Star,Split
160,Daikin,1.5,3,Split Inverter,White,Copper,35.0,"(30, 35]",2803.0,"(2500,3000]",R32,No,1,1,10,1,1,2367.0,222.0,4.2,"(4.0,4.5]",37799.0,"(35000,40000]",51100.0,"(50000,55000]",26.0,Daikin 1.5 Ton 3.0 Star,Split
161,Lloyd,1.5,3,Split Inverter,White,Copper,42.0,"(40, 45]",2288.0,"(2000,2500]",R32,No,1,1,5,1,1,5.0,0.0,4.2,"(4.0,4.5]",36930.0,"(35000,40000]",59990.0,"(55000,60000]",38.0,Lloyd 1.5 Ton 3.0 Star,Split
162,Voltas,2.0,3,Split Inverter,White,Copper,45.0,"(40, 45]",3200.0,"(3000,3500]",R410A,No,1,1,5,1,1,33.0,1.0,4.0,"(3.5,4.0]",49999.0,"(45000,50000]",75000.0,"(70000,75000]",33.0,Voltas 2.0 Ton 3.0 Star,Split
163,Samsung,1.5,3,Split,White,Copper,44.0,"(40, 45]",2256.0,"(2000,2500]",R32,No,1,1,5,1,1,138.0,8.0,4.3,"(4.0,4.5]",34799.0,"(30000,35000]",42990.0,"(40000,45000]",19.0,Samsung 1.5 Ton 3.0 Star,Split
164,Blue Star,1.0,3,Split Inverter,White,Copper,39.0,"(35, 40]",704.0,"(500,1000]",R32A,No,1,1,10,1,1,3.0,0.0,0.0,"(-0.5,0.0]",33990.0,"(30000,35000]",51500.0,"(50000,55000]",34.0,Blue Star 1.0 Ton 3.0 Star,Split
165,Carrier,1.5,3,Split Inverter,White,Copper,37.0,"(35, 40]",2800.0,"(2500,3000]",R32A,No,1,1,10,1,1,599.0,64.0,4.2,"(4.0,4.5]",35999.0,"(35000,40000]",54990.0,"(50000,55000]",35.0,Carrier 1.5 Ton 3.0 Star,Split
166,Blue Star,1.0,3,Split Inverter,White,Copper,62.0,"(60, 65]",1071.0,"(1000,1500]",R32A,No,1,1,1,1,1,71.0,12.0,4.3,"(4.0,4.5]",35900.0,"(35000,40000]",49500.0,"(45000,50000]",27.0,Blue Star 1.0 Ton 3.0 Star,Split
167,Candy,1.5,3,Split Dual Inverter,White,Copper,28.0,"(25, 30]",1743.0,"(1500,2000]",R32A,No,1,1,10,1,1,234.0,44.0,4.1,"(4.0,4.5]",28999.0,"(25000,30000]",43000.0,"(40000,45000]",33.0,Candy 1.5 Ton 3.0 Star,Split
168,Daikin,1.5,3,Split Inverter,White,Copper,35.0,"(30, 35]",2784.0,"(2500,3000]",R32,No,1,1,10,1,1,109.0,5.0,4.0,"(3.5,4.0]",36900.0,"(35000,40000]",61990.0,"(60000,65000]",40.0,Daikin 1.5 Ton 3.0 Star,Split
169,Lg,2.0,5,Window Dual Inverter,White,Copper,44.0,"(40, 45]",2193.0,"(2000,2500]",R32,No,1,1,1,1,1,51.0,7.0,4.3,"(4.0,4.5]",48490.0,"(45000,50000]",54990.0,"(50000,55000]",12.0,Lg 2.0 Ton 5.0 Star,Window
170,Blue Star,1.5,4,Window,White,Copper,55.0,"(50, 55]",2416.0,"(2000,2500]",R32A,No,1,1,5,1,1,10.0,4.0,4.0,"(3.5,4.0]",32299.0,"(30000,35000]",39500.0,"(35000,40000]",18.0,Blue Star 1.5 Ton 4.0 Star,Window
171,Blue Star,1.5,3,Split,White,Copper,41.0,"(40, 45]",2330.0,"(2000,2500]",R32,No,1,1,5,1,1,3.0,0.0,0.0,"(-0.5,0.0]",38990.0,"(35000,40000]",52250.0,"(50000,55000]",25.0,Blue Star 1.5 Ton 3.0 Star,Split
172,Daikin,0.8,3,Split,White,Copper,43.0,"(40, 45]",1134.0,"(1000,1500]",R32A,No,1,1,5,1,1,158.0,13.0,4.0,"(3.5,4.0]",26999.0,"(25000,30000]",37400.0,"(35000,40000]",28.0,Daikin 0.8 Ton 3.0 Star,Split
173,Onida,1.5,5,Split Inverter,White,Copper,38.0,"(35, 40]",2440.0,"(2000,2500]",R32A,No,1,1,4,1,1,828.0,139.0,4.3,"(4.0,4.5]",36999.0,"(35000,40000]",60890.0,"(60000,65000]",39.0,Onida 1.5 Ton 5.0 Star,Split
174,Lg,1.5,5,Split Dual Inverter,White,Copper,31.0,"(30, 35]",640.0,"(500,1000]",R32,No,1,5,10,1,1,4.0,0.0,3.5,"(3.0,3.5]",47599.0,"(45000,50000]",75900.0,"(75000,80000]",37.0,Lg 1.5 Ton 5.0 Star,Split
175,Lloyd,1.5,3,Split Inverter,White,Copper,42.0,"(40, 45]",2272.0,"(2000,2500]",R32,No,1,1,1,1,1,1516.0,149.0,4.3,"(4.0,4.5]",33490.0,"(30000,35000]",59990.0,"(55000,60000]",44.0,Lloyd 1.5 Ton 3.0 Star,Split
176,Godrej,1.0,5,Split Dual Inverter,"White, Silver",Copper,40.0,"(35, 40]",584.0,"(500,1000]",R290A,No,1,1,10,1,1,0.0,0.0,0.0,"(-0.5,0.0]",33990.0,"(30000,35000]",45900.0,"(45000,50000]",26.0,Godrej 1.0 Ton 5.0 Star,Split
177,Voltas,1.0,3,Split Inverter,White,Copper,46.0,"(45, 50]",1808.0,"(1500,2000]",R32,No,1,1,5,1,1,20.0,4.0,3.8,"(3.5,4.0]",33990.0,"(30000,35000]",49490.0,"(45000,50000]",31.0,Voltas 1.0 Ton 3.0 Star,Split
178,Godrej,2.0,3,Window,White,Copper,53.0,"(50, 55]",2600.0,"(2500,3000]",R32A,No,1,1,5,1,1,9.0,0.0,4.6,"(4.5,5.0]",31990.0,"(30000,35000]",38900.0,"(35000,40000]",18.0,Godrej 2.0 Ton 3.0 Star,Window
179,Blue Star,1.5,5,Split Inverter,White,Copper,44.0,"(40, 45]",2200.0,"(2000,2500]",R32,No,1,1,10,1,1,9.0,1.0,4.6,"(4.5,5.0]",42790.0,"(40000,45000]",66500.0,"(65000,70000]",36.0,Blue Star 1.5 Ton 5.0 Star,Split
180,Ifb,1.5,3,Split Inverter,White,Copper,35.0,"(30, 35]",1119.0,"(1000,1500]",R32A,No,1,5,1,1,1,538.0,87.0,4.4,"(4.0,4.5]",39490.0,"(35000,40000]",49490.0,"(45000,50000]",20.0,Ifb 1.5 Ton 3.0 Star,Split
181,Voltas,2.0,3,Split Inverter,White,Copper,45.0,"(40, 45]",3200.0,"(3000,3500]",R32,No,1,1,5,1,1,19.0,3.0,3.7,"(3.5,4.0]",48990.0,"(45000,50000]",79990.0,"(75000,80000]",39.0,Voltas 2.0 Ton 3.0 Star,Split
182,Samsung,2.0,4,Split Inverter,White,Copper,35.0,"(30, 35]",2912.0,"(2500,3000]",R32,No,1,1,10,1,1,3.0,0.0,0.0,"(-0.5,0.0]",48690.0,"(45000,50000]",77990.0,"(75000,80000]",38.0,Samsung 2.0 Ton 4.0 Star,Split
183,Voltas,1.5,5,Split Inverter,White,Copper,45.0,"(40, 45]",2328.0,"(2000,2500]",R32,No,1,1,10,1,1,4.0,0.0,4.1,"(4.0,4.5]",44990.0,"(40000,45000]",60990.0,"(60000,65000]",26.0,Voltas 1.5 Ton 5.0 Star,Split
184,Voltas,1.0,3,Split,Red,Copper,29.0,"(25, 30]",1602.0,"(1500,2000]",R22,No,1,1,4,1,1,128.0,21.0,4.2,"(4.0,4.5]",30990.0,"(30000,35000]",45990.0,"(45000,50000]",33.0,Voltas 1.0 Ton 3.0 Star,Split
185,Hitachi,1.5,3,Window,White,Copper,50.0,"(45, 50]",1277.0,"(1000,1500]",R32A,No,1,1,5,1,1,11.0,0.0,3.7,"(3.5,4.0]",29199.0,"(25000,30000]",29890.0,"(25000,30000]",2.0,Hitachi 1.5 Ton 3.0 Star,Window
